1,1,ELITECH ,ABPM50,AMBULATORY BLOOD PRESSURE MONITOR,AMBULATORY BLOOD PRESSURE MONITOR,Unit,20501510581,,1,NULL,NULL
2,1,ELITECH ,APRON (Full),MEDICAL APRON,MEDICAL APRON,BOX,11603021706,,1,NULL,NULL
3,1,ELITECH ,APRON (Half),MEDICAL APRON,MEDICAL APRON,BOX,11603021706,,1,NULL,NULL
4,1,ELITECH ,ASL300,AIR STERILIZER AND PURIFIER,AIR STERILIZER AND PURIFIER,Unit,,,1,NULL,NULL
5,1,ELITECH ,BABY DIGIT-ONE,TIMBANGAN BAYI MEKANIK,TIMBANGAN BAYI MEKANIK,Unit,10901410295,,1,NULL,NULL
6,1,ELITECH ,BABY ONE,BABY SCALE,BABY SCALE,Unit,10901318002,,1,NULL,NULL
7,1,ELITECH ,BACKUP POWER,BACKUP POWER,BACKUP POWER,Unit,,,1,NULL,NULL
8,1,ELITECH ,BATERAI MEL-02,BATERAI,BATERAI,Unit,,,1,NULL,NULL
9,1,ELITECH ,BB-200,INFANT INCUBATOR,INFANT INCUBATOR,Unit,20903900076,,1,NULL,NULL
10,1,ELITECH ,BL-50,INFANT PHOTOTHERAPY UNIT,INFANT PHOTOTHERAPY UNIT,Unit,20903900073,,1,NULL,NULL
11,1,ELITECH ,BL-50B,INFANT PHOTOTHERAPY UNIT,INFANT PHOTOTHERAPY UNIT,Unit,20903900073,,1,NULL,NULL
12,1,ELITECH ,BN-100,INFANT WARMER,INFANT WARMER,Unit,20903900074,,1,NULL,NULL
13,1,ELITECH ,BODY FAT,BODY FAT,BODY FAT,Unit,,,1,NULL,NULL
14,1,ELITECH ,BODY FAT PRO,DIGITAL SCALE / TIMBANGAN DIGITAL BMI ,DIGITAL SCALE / TIMBANGAN DIGITAL BMI ,Unit,10901911085,,1,NULL,NULL
15,1,RGB,BPM001 ,BLOOD PRESSURE MONITOR,BLOOD PRESSURE MONITOR,Unit,20501910739,,1,NULL,NULL
16,1,RGB,BPM002 ,BLOOD PRESSURE MONITOR,BLOOD PRESSURE MONITOR,Unit,20501910740,,1,NULL,NULL
17,1,ELITECH ,BR-100,INFANT RESUSCITATOR,INFANT RESUSCITATOR,Unit,20403022754,,1,NULL,NULL
18,1,ELITECH ,BT-100 (Big),INFANT INCUBATOR TRANSPORT,INFANT INCUBATOR TRANSPORT,Unit,20902710901,,1,NULL,NULL
19,1,ELITECH ,BT-100 (Small),INFANT INCUBATOR TRANSPORT,INFANT INCUBATOR TRANSPORT,Unit,20902710901,,1,NULL,NULL
20,1,ELITECH ,CENTRAL MONITOR PM-9000+ + PC + INSTALASI,CENTRAL MONITOR,CENTRAL MONITOR,Unit,20903900075,,1,NULL,NULL
21,1,ELITECH ,CMS-600 PLUS,B-ULTRASOUND DIAGNOSTIC SYSTEM,B-ULTRASOUND DIAGNOSTIC SYSTEM,Unit,21102900256,,1,NULL,NULL
22,1,ELITECH ,CONVEX PROBE,CONVEX PROBE,CONVEX PROBE,Unit,,,1,NULL,NULL
23,1,ELITECH ,DIGIT ONE,PATIENT SCALE,PATIENT SCALE,Unit,10901318000,,1,NULL,NULL
24,1,ELITECH ,DIGIT-ONE BABY,TIMBANGAN BAYI DIGITAL,TIMBANGAN BAYI DIGITAL,Unit,10901410291,,1,NULL,NULL
25,1,ELITECH ,DIGIT-PRO,PATIENT SCALE,PATIENT SCALE,Unit,10901318001,,1,NULL,NULL
26,1,ELITECH ,DIGIT-PRO BMI,PATIENT SCALE,PATIENT SCALE,Unit,10901910723,,1,NULL,NULL
27,1,ELITECH ,DIGIT-PRO IDA,DIGITAL SCALE / TIMBANGAN DIGITAL IBU & ANAK,DIGITAL SCALE / TIMBANGAN DIGITAL IBU & ANAK,Unit,10901910529,,1,NULL,NULL
28,1,ELITECH ,DP1,ULTRASONIC POCKET DOPPLER,ULTRASONIC POCKET DOPPLER,Unit,21101810460,,1,NULL,NULL
29,1,ELITECH ,DP1 + TELE,ULTRASONIC POCKET DOPPLER,ULTRASONIC POCKET DOPPLER,Unit,21101810460,,1,NULL,NULL
30,1,ELITECH ,DS-PRO100,PORTABLE SPIROMETER,PORTABLE SPIROMETER,Unit,20401710665,,1,NULL,NULL
31,1,ELITECH ,ECG-100G,ELECTROCARDIOGRAPH,ELECTROCARDIOGRAPH,Unit,20502900072,,1,NULL,NULL
32,1,ELITECH ,ECG-1200 MED,ELECTROCARDIOGRAPH,ELECTROCARDIOGRAPH,Unit,20502810371,,1,NULL,NULL
33,1,ELITECH ,ECG-1200G,ELECTROCARDIOGRAPH,ELECTROCARDIOGRAPH,Unit,20502310189,,1,NULL,NULL
34,1,ELITECH ,ECG-1800 MED,ELECTROCARDIOGRAPH,ELECTROCARDIOGRAPH,Unit,20502810372,,1,NULL,NULL
35,1,ELITECH ,ECG-300G,ELECTROCARDIOGRAPH,ELECTROCARDIOGRAPH,Unit,21102900255,,1,NULL,NULL
36,1,ELITECH ,ECG-300G TFT,ELECTROCARDIOGRAPH,ELECTROCARDIOGRAPH,Unit,21102900255,,1,NULL,NULL
37,1,ELITECH ,END-1 (Dua Fungsi),MEDICAL DESTROYER,MEDICAL DESTROYER,Unit,20902210075,,1,NULL,NULL
38,1,ELITECH ,END-1 (Satu Fungsi),MEDICAL DESTROYER,MEDICAL DESTROYER,Unit,20902210075,,1,NULL,NULL
39,1,ELITECH ,END-1 (Tiga Fungsi),MEDICAL DESTROYER,MEDICAL DESTROYER,Unit,20902210075,,1,NULL,NULL
40,1,ELITECH ,ESA 2000W,PROGRAMMABLE AUTO SAFETY TESTER FOR MEDICAL APPARATUS,PROGRAMMABLE AUTO SAFETY TESTER FOR MEDICAL APPARATUS,Unit,FR.03.02/VA/2190/2020,,1,NULL,NULL
41,1,ELITECH ,ESA 500W,PROGRAMMABLE AUTO SAFETY TESTER FOR MEDICAL APPARATUS,PROGRAMMABLE AUTO SAFETY TESTER FOR MEDICAL APPARATUS,Unit,FR.03.02/VA/2191/2020,,1,NULL,NULL
42,1,ELITECH ,FACE SHIELD ELITECH + 5 Visor,MEDICAL FACE SHIELD,MEDICAL FACE SHIELD,Unit,,,1,NULL,NULL
43,1,ELITECH ,FACE SHIELD HELM KUNING,MEDICAL FACE SHIELD,MEDICAL FACE SHIELD,Unit,,,1,NULL,NULL
44,1,ELITECH ,FACE SHIELD KACA MATA (Nagita),MEDICAL FACE SHIELD,MEDICAL FACE SHIELD,Unit,,,1,NULL,NULL
45,1,ELITECH ,FACE SHIELD MODERN,MEDICAL FACE SHIELD,MEDICAL FACE SHIELD,Unit,,,1,NULL,NULL
46,1,ELITECH ,FACE SHIELD SWING,MEDICAL FACE SHIELD,MEDICAL FACE SHIELD,Unit,,,1,NULL,NULL
47,1,ELITECH ,FILTER AIR 3 MEDIA,FILTER AIR,FILTER AIR,Unit,,,1,NULL,NULL
48,1,ELITECH ,FOX PRO,HANDHELD PULSE OXIMETER,HANDHELD PULSE OXIMETER,Unit,20502910952,,1,NULL,NULL
49,1,ELITECH ,FOX-1,PULSE OXIMETER,PULSE OXIMETER,Unit,,,1,NULL,NULL
50,1,ELITECH ,FOX-2,PULSE OXIMETER,PULSE OXIMETER,Unit,20502210102,,1,NULL,NULL
51,1,ELITECH ,FOX-3,PULSE OXIMETER,PULSE OXIMETER,Unit,20502210101,,1,NULL,NULL
52,1,ELITECH ,FOX-BABY,PULSE OXIMETER,PULSE OXIMETER,Unit,20502318005,,1,NULL,NULL
53,1,ELITECH ,FRAME FACE SHIELD ELITECH (Tanpa Visor),FRAME MEDICAL FACE SHIELD ELITECH (Tanpa Visor),FRAME MEDICAL FACE SHIELD ELITECH (Tanpa Visor),Unit,,,1,NULL,NULL
54,1,ELITECH ,GET 100E UV,STERILISATOR ELITECH GET 100E UV,STERILISATOR ELITECH GET 100E UV,Unit,,,1,NULL,NULL
55,1,ELITECH ,GET 338 UO,STERILISATOR KERING,STERILISATOR KERING,Unit,20903800291,,1,NULL,NULL
56,1,ELITECH ,GET 338 UV,MEDICAL UV STERILIZER ,MEDICAL UV STERILIZER ,Unit,,,1,NULL,NULL
57,1,ELITECH ,GET-160,STERILISATOR KERING,STERILISATOR KERING,Unit,20903800287,,1,NULL,NULL
58,1,ELITECH ,GET-80C,STERILISATOR KERING,STERILISATOR KERING,Unit,20903800282,,1,NULL,NULL
59,1,ELITECH ,HAZMAT COVER ALL,MEDICAL ISOLATION,MEDICAL ISOLATION,Unit,,,1,NULL,NULL
60,1,ELITECH ,ISOLATION GOWN-01,MEDICAL ISOLATION GOWN,MEDICAL ISOLATION GOWN,Box,21603020315,,1,NULL,NULL
61,1,ELITECH ,KJF-B100,MEDICAL PLASMA AIR STERILIZER,MEDICAL PLASMA AIR STERILIZER,Unit,20903020466,,1,NULL,NULL
62,1,ELITECH ,KJF-Y100,MEDICAL PLASMA AIR STERILIZER,MEDICAL PLASMA AIR STERILIZER,Unit,20903020450,,1,NULL,NULL
63,1,ELITECH ,KJG200,AIR STERILIZER AND PURIFIER,AIR STERILIZER AND PURIFIER,Unit,,,1,NULL,NULL
64,1,ELITECH ,LAMPU LED MEL-01,LAMPU LED ,LAMPU LED ,Unit,,,1,NULL,NULL
