1,1,1,NULL,NULL
2,2,1,,
3,3,1,,
5,4,1,,
5,5,1,,
129,5,1,,
6,6,1,,
9,7,1,,
9,8,1,,
143,8,1,,
11,9,1,,
11,10,1,,
143,10,1,,
12,11,1,,
12,12,1,,
143,12,1,,
14,13,1,,
17,14,1,,
18,15,1,,
19,16,1,,
20,17,1,,
21,18,1,,
21,19,1,,
66,19,1,,
21,20,1,,
98,20,1,,
21,21,1,,
98,21,1,,
66,21,1,,
21,22,1,,
98,22,1,,
66,22,1,,
137,22,1,,
143,22,1,,
21,23,1,,
98,23,1,,
137,23,1,,
21,24,1,,
98,24,1,,
137,24,1,,
143,24,1,,
21,25,1,,
137,25,1,,
21,26,1,,
143,26,1,,
23,27,1,,
24,28,1,,
24,29,1,,
129,29,1,,
25,30,1,,
26,31,1,,
13,31,1,,
27,32,1,,
28,33,1,,
29,34,1,,
30,35,1,,
30,36,1,,
135,36,1,,
31,37,1,,
31,38,1,,
135,38,1,,
31,39,1,,
135,39,1,,
143,39,1,,
31,40,1,,
143,40,1,,
32,41,1,,
32,42,1,,
135,42,1,,
32,43,1,,
135,43,1,,
143,43,1,,
32,44,1,,
143,44,1,,
33,45,1,,
33,46,1,,
135,46,1,,
33,47,1,,
135,47,1,,
143,47,1,,
33,48,1,,
143,48,1,,
34,49,1,,
34,50,1,,
135,50,1,,
34,51,1,,
135,51,1,,
143,51,1,,
34,52,1,,
143,52,1,,
35,53,1,,
35,54,1,,
135,54,1,,
35,55,1,,
135,55,1,,
143,55,1,,
35,56,1,,
143,56,1,,
37,57,1,,
37,58,1,,
7,58,1,,
37,59,1,,
135,59,1,,
37,60,1,,
135,60,1,,
7,60,1,,
38,61,1,,
38,62,1,,
7,62,1,,
38,63,1,,
135,63,1,,
38,64,1,,
135,64,1,,
7,64,1,,
39,65,1,,
39,66,1,,
7,66,1,,
39,67,1,,
135,64,1,,
39,68,1,,
135,68,1,,
7,68,1,,
48,69,1,,
50,70,1,,
51,71,1,,
52,72,1,,
55,73,1,,
55,74,1,,
135,74,1,,
55,75,1,,
135,75,1,,
143,75,1,,
55,76,1,,
143,76,1,,
57,77,1,,
57,78,1,,
143,78,1,,
58,79,1,,
58,80,1,,
143,80,1,,
60,81,1,,
61,82,1,,
61,83,1,,
143,83,1,,
62,84,1,,
62,85,1,,
143,85,1,,
68,86,1,,
68,87,1,,
143,87,1,,
72,88,1,,
135,88,1,,
72,89,1,,
135,89,1,,
143,89,1,,
72,90,1,,
143,90,1,,
73,91,1,,
73,92,1,,
135,92,1,,
73,93,1,,
136,93,1,,
74,94,1,,
74,95,1,,
135,95,1,,
74,96,1,,
135,96,1,,
143,96,1,,
74,97,1,,
143,97,1,,
75,98,1,,
75,99,1,,
135,99,1,,
75,100,1,,
136,100,1,,
76,101,1,,
77,102,1,,
78,103,1,,
78,104,1,,
7,104,1,,
79,105,1,,
79,106,1,,
88,106,1,,
85,106,1,,
79,107,1,,
88,107,1,,
85,107,1,,
143,107,1,,
79,108,1,,
143,108,1,,
81,109,1,,
81,110,1,,
143,110,1,,
82,111,1,,
83,112,1,,
84,113,1,,
86,115,1,,
89,116,1,,
89,117,1,,
135,117,1,,
89,118,1,,
135,118,1,,
143,118,1,,
89,119,1,,
143,119,1,,
90,120,1,,
90,121,1,,
135,121,1,,
90,122,1,,
135,122,1,,
143,122,1,,
90,123,1,,
143,123,1,,
91,124,1,,
91,125,1,,
135,125,1,,
91,126,1,,
135,126,1,,
143,126,1,,
91,127,1,,
91,127,1,,
92,128,1,,
94,129,1,,
94,130,1,,
135,130,1,,
94,131,1,,
135,131,1,,
143,131,1,,
94,132,1,,
